Factor,degree,GA,IA,GAcc,IAcc,GR,IR,FAR,FRR,EER
20,6,200,19800,200,108,0,19692,0.5455,0.0,0.2727
20,7,200,19800,200,37,0,19763,0.1869,0.0,0.0934
20,8,200,19800,200,6,0,19794,0.0303,0.0,0.0152
20,9,200,19800,199,1,1,19799,0.0051,0.5,0.2525
20,10,200,19800,199,0,1,19800,0.0,0.5,0.25
20,11,200,19800,198,0,2,19800,0.0,1.0,0.5
22,5,200,19800,200,481,0,19319,2.4293,0.0,1.2146
22,6,200,19800,200,242,0,19558,1.2222,0.0,0.6111
22,7,200,19800,200,96,0,19704,0.4848,0.0,0.2424
22,8,200,19800,200,39,0,19761,0.197,0.0,0.0985
22,9,200,19800,200,16,0,19784,0.0808,0.0,0.0404
22,10,200,19800,199,9,1,19791,0.0455,0.5,0.2727
22,11,200,19800,199,4,1,19796,0.0202,0.5,0.2601
24,5,200,19800,200,1009,0,18791,5.096,0.0,2.548
24,6,200,19800,200,471,0,19329,2.3788,0.0,1.1894
24,7,200,19800,200,242,0,19558,1.2222,0.0,0.6111
24,8,200,19800,200,115,0,19685,0.5808,0.0,0.2904
24,9,200,19800,200,54,0,19746,0.2727,0.0,0.1364
24,10,200,19800,200,25,0,19775,0.1263,0.0,0.0631
24,11,200,19800,200,16,0,19784,0.0808,0.0,0.0404
26,5,200,19800,200,1755,0,18045,8.8636,0.0,4.4318
26,6,200,19800,200,995,0,18805,5.0253,0.0,2.5126
26,7,200,19800,200,563,0,19237,2.8434,0.0,1.4217
26,8,200,19800,200,328,0,19472,1.6566,0.0,0.8283
26,9,200,19800,200,159,0,19641,0.803,0.0,0.4015
26,10,200,19800,200,82,0,19718,0.4141,0.0,0.2071
26,11,200,19800,200,37,0,19763,0.1869,0.0,0.0934
28,5,200,19800,200,2569,0,17231,12.9747,0.0,6.4874
28,6,200,19800,200,1608,0,18192,8.1212,0.0,4.0606
28,7,200,19800,200,986,0,18814,4.9798,0.0,2.4899
28,8,200,19800,200,571,0,19229,2.8838,0.0,1.4419
28,9,200,19800,200,321,0,19479,1.6212,0.0,0.8106
28,10,200,19800,200,167,0,19633,0.8434,0.0,0.4217
28,11,200,19800,200,79,0,19721,0.399,0.0,0.1995
30,5,200,19800,200,3565,0,16235,18.0051,0.0,9.0025
30,6,200,19800,200,2295,0,17505,11.5909,0.0,5.7955
30,7,200,19800,200,1430,0,18370,7.2222,0.0,3.6111
30,8,200,19800,200,887,0,18913,4.4798,0.0,2.2399
30,9,200,19800,200,530,0,19270,2.6768,0.0,1.3384
30,10,200,19800,200,305,0,19495,1.5404,0.0,0.7702
30,11,200,19800,200,184,0,19616,0.9293,0.0,0.4646
32,5,200,19800,200,5263,0,14537,26.5808,0.0,13.2904
32,6,200,19800,200,3685,0,16115,18.6111,0.0,9.3056
32,7,200,19800,200,2547,0,17253,12.8636,0.0,6.4318
32,8,200,19800,200,1727,0,18073,8.7222,0.0,4.3611
32,9,200,19800,200,1133,0,18667,5.7222,0.0,2.8611
32,10,200,19800,200,729,0,19071,3.6818,0.0,1.8409
32,11,200,19800,200,461,0,19339,2.3283,0.0,1.1641
34,5,200,19800,200,5865,0,13935,29.6212,0.0,14.8106
34,6,200,19800,200,4236,0,15564,21.3939,0.0,10.697
34,7,200,19800,200,3011,0,16789,15.2071,0.0,7.6035
34,8,200,19800,200,2019,0,17781,10.197,0.0,5.0985
34,9,200,19800,200,1343,0,18457,6.7828,0.0,3.3914
34,10,200,19800,200,863,0,18937,4.3586,0.0,2.1793
34,11,200,19800,200,524,0,19276,2.6465,0.0,1.3232
